Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2025-08-10 15:00:00+00:00,52.47968,210.0,25.081500000000005,1014.1,64452.623145945276,2.4227942807474823,3.6227668447274137,2.8279582000135135,7.2149721901407515,6.10548297212461,47.97541930349581,-81.91535871715138,-10244.479096492843,3665.8021251509263,300.23081036265864,
2025-08-10 16:00:00+00:00,51.06872,220.0,26.631500000000017,1014.3,64704.34447160898,2.4198269222507442,3.599422129576192,2.844087658685547,7.160546882360317,6.0265627781369355,47.97091401251641,-81.9072523897348,-8259.551855153632,2021.3181532831572,285.6253192671297,
2025-08-10 17:00:00+00:00,50.043137,220.0,28.181500000000028,1014.3,64215.24144334753,2.4178788117189063,3.410827805084101,2.8403493995913345,7.267417907916493,6.3105204449158565,47.96783083147931,-81.9080464158266,-8454.568730615687,896.6730971417024,303.03028278993577,
2025-08-10 18:00:00+00:00,49.516018,220.0,29.531499999999994,1014.1,63681.57402250594,2.41567480914759,3.240963511897642,2.861607529969711,7.267783423426033,5.826213670334283,47.96574481149464,-81.91071059877517,-9107.622926051801,136.00566864321152,322.7206819777543,
2025-08-10 19:00:00+00:00,50.531532,220.0,29.281499999999994,1013.8,63633.48527540931,2.4159053691585135,3.1973605141189774,2.8505905369995723,7.276971582007662,5.370498297288581,47.96514839484808,-81.911532591269,-9309.114837091833,-81.46626444287004,325.2998651363445,
2025-08-11 11:00:00+00:00,45.323025,220.0,20.631500000000017,1013.4,63148.317643368435,2.4326961543745482,3.347391968990807,2.8022762931305545,7.278540046361264,6.155002973713478,47.96628782085475,-81.93049554160163,-13954.705084547093,337.0504962229596,361.7660278567252,
2025-08-11 12:00:00+00:00,43.160255,220.0,21.481498999999985,1013.8,64331.00391873487,2.4311564990662142,3.835896985533296,2.83372646080722,6.867301051056379,5.718608893386965,47.97554732846756,-81.92329140834666,-12187.562289757585,3713.6585719785903,315.528987712822,
2025-08-11 13:00:00+00:00,41.39766,220.0,22.481498999999985,1013.8,64465.521093897594,2.4279643480948354,3.739823081160838,2.836999347599509,7.058251132302522,6.22399013806196,47.974756919661445,-81.91924519316832,-11196.614904215858,3424.7072866831822,306.1228709226164,
2025-08-11 14:00:00+00:00,39.66789,220.0,21.631500000000017,1014.3,64122.03138491369,2.42816524639277,3.5370057214635557,2.8157480833393094,7.167526302738701,6.046796210423177,47.97143380910921,-81.92623953804375,-12910.730378180659,2213.5432083344217,320.650627821027,
2025-08-11 15:00:00+00:00,39.9489,210.0,21.781499999999994,1013.4,65360.572562185815,2.429209217429691,3.7186269337143543,2.8223561920743196,7.174052530375624,6.2426967074871875,47.97638610863229,-81.91034915912235,-9017.219086840238,4017.8633792899354,267.05170241721123,
2025-08-11 16:00:00+00:00,47.015217,210.0,24.331500000000005,1013.1,65388.77614788894,2.4264635811016717,3.6473427572359554,2.826644544844663,7.271364932529963,6.265259308730897,47.97829042586936,-81.90200350152719,-6972.7312050978735,4711.686020537983,258.7786718210622,
2025-08-11 17:00:00+00:00,49.060307,210.0,25.781499999999994,1012.8,64588.706178580585,2.4237271741721065,3.490649737194655,2.8631543053817534,7.272712651011297,5.715476660621659,47.97781639406728,-81.9096442625423,-8844.313569947824,4539.54439456111,292.8270424239641,
2025-08-11 18:00:00+00:00,49.24821,210.0,26.181500000000028,1012.2,64210.163294599304,2.4231320135032464,3.4933362478653223,2.8475566430349963,7.257196371000849,5.817510415849477,47.98147706010159,-81.91585119101705,-10363.898248852269,5875.714692333573,308.2757085464758,
2025-08-12 11:00:00+00:00,63.333263,230.0,16.931500000000028,1011.4,64864.965056440495,2.4412563230638247,3.534440523237064,2.7954643773131638,7.276310745188345,6.085801754306266,47.97091332974952,-81.89004769141238,-4044.8926355425665,2019.6969186063282,289.8989270540313,
2025-08-12 14:00:00+00:00,62.904243,220.0,21.481498999999985,1010.7,65287.276099022696,2.434261479494093,3.4439948047031104,2.810043307788888,7.270823165313175,6.2724433355217375,47.97755197266768,-81.88358219132878,-2460.7144372060084,4441.174645671029,264.5763191741923,
2025-08-12 15:00:00+00:00,62.341089999999994,220.0,22.281499999999994,1010.3,65144.94018006614,2.431535913583867,3.2952207548308357,2.816052533789792,7.271353356602328,6.344421512919455,47.97422056714812,-81.88202052691638,-2078.3339862457506,3225.844939130044,270.46085711376463,
2025-08-12 16:00:00+00:00,60.234653,210.0,23.231498999999985,1009.8,64588.40886120111,2.4307709182606763,3.2935129160496137,2.8169665032052373,7.261830273346408,6.085344648672642,47.9751580674183,-81.88903619131212,-3796.7928511472796,3568.108486094185,294.12293128485476,
2025-08-12 17:00:00+00:00,60.119537,210.0,24.881500000000017,1009.4,64023.953628174706,2.4276042241313536,3.3248490769334493,2.8242773466272175,7.2751466762495225,6.024966652195706,47.97826817040718,-81.89763180327888,-5901.945155173788,4703.202473329324,316.34503266535705,
2025-08-12 18:00:00+00:00,61.44229,210.0,25.731498999999985,1008.9,63588.46348533916,2.4258778146946334,3.150964768533377,2.829866202909017,7.276169300919996,6.177245898837186,47.977132367077985,-81.90103877890628,-6736.586034337838,4289.144837143813,331.1506405978448,
2025-08-12 19:00:00+00:00,64.70714,210.0,25.881500000000017,1008.5,63429.183797398684,2.425502911593539,3.090007374893697,2.8299984389798243,7.2612593330032205,6.4004756481143525,47.9789461723487,-81.90707558662727,-8214.966065627581,4951.399220190913,337.53811890504784,
2025-08-13 11:00:00+00:00,55.17828,260.0,15.431500000000028,1009.7,64172.50318123519,2.444434727429453,3.407932885170521,2.781533290243602,7.260571981612127,6.135364684970935,47.98593574039518,-81.90270022814151,-7142.330401870258,7500.733643635501,329.2642120461406,
2025-08-13 12:00:00+00:00,63.412760000000006,260.0,16.031499999999994,1010.5,64673.58904995336,2.4427690036823466,3.5786447811291535,2.782320215252093,7.246290904045372,5.347856965038428,47.98048077635287,-81.89054907119802,-4166.946533573691,5509.890708426773,304.5506500522443,
2025-08-13 13:00:00+00:00,70.08614,270.0,16.981498999999985,1011.4,65004.78906945305,2.440916254352053,3.5143076935851316,2.7897718187722855,7.217912450627475,5.599998161197401,47.979016206032206,-81.87929862085993,-1411.4566397971862,4975.213983410282,284.62447203192755,
2025-08-13 14:00:00+00:00,72.75491,270.0,18.031499999999994,1011.5,65242.972398317186,2.438623664006061,3.565222981491449,2.8008092407503797,7.256178027727992,5.761956699385647,47.979456567284956,-81.87582884836874,-561.5897030757877,5135.811771686368,272.38257558262467,
2025-08-13 15:00:00+00:00,71.849075,260.0,18.331500000000005,1012.0,64885.67382665632,2.4374498206841517,3.2900393066819547,2.7960444258566324,7.238999504237422,5.798923100980637,47.98769472421259,-81.88094250954762,-1813.7953820216665,8141.142130477604,287.8606971795672,
2025-08-13 16:00:00+00:00,74.719246,260.0,18.831500000000005,1012.2,64662.9796396861,2.4360812927760067,3.1480132976549,2.806811359996324,7.26641538021875,6.039332226574551,47.98972248163011,-81.88144517137181,-1936.8174102694265,8880.874021025213,295.2175862262291,
2025-08-13 17:00:00+00:00,74.803474,260.0,19.631500000000017,1012.4,64561.43986636145,2.4352725262337924,3.1850422654018042,2.8007659390584254,7.234800365358303,6.339671831962683,47.986194134949216,-81.8850039374413,-2808.4882176586257,7593.853646032842,298.0157392664409,
2025-08-13 18:00:00+00:00,72.74627,250.00000000000003,19.481498999999985,1012.7,64910.791936624315,2.4348557619929907,3.227466642341447,2.8018734684078357,7.274910624607164,5.732587728547216,47.99167510580338,-81.88179652829459,-2022.78226355103,9593.19458028081,284.24903616670855,
2025-08-13 19:00:00+00:00,70.91391,250.00000000000003,19.831500000000005,1012.4,64974.52044031958,2.4341688553577736,3.122621720807973,2.807235054872081,7.269897559402708,5.670098293602198,47.995526757250474,-81.87947257288502,-1453.5996295291557,10998.214012921124,282.3961494510575,
2025-08-14 11:00:00+00:00,52.691254,310.0,6.131500000000017,1018.8,67526.80096766671,2.453784469096042,4.551482663699825,2.757955159502385,7.207420526457451,2.773898341235508,47.95585148961059,-81.85893763104275,3577.223074601282,-3474.8861556261536,133.39200039099657,
2025-08-14 12:00:00+00:00,53.403545,310.0,8.181500000000028,1019.8,67547.13510228514,2.4489915826192905,4.493414809218449,2.7778671074251746,7.224676986028222,2.4600206416681534,47.948516850284165,-81.859079406338,3542.983438207523,-6150.529442715687,120.04010147137134,
2025-08-14 13:00:00+00:00,51.758736,300.0,10.431500000000028,1020.4,67401.88108151825,2.4441809410401314,4.345091670766045,2.7811939081204886,7.222334545077756,2.9496926741123746,47.94141061105779,-81.86415951115863,2298.2799266104917,-8743.036120748495,129.96821950030434,
2025-08-14 14:00:00+00:00,52.894043,300.0,12.881500000000017,1020.7,67493.77156216725,2.438489174399415,3.750009682960046,2.806573739742271,7.277645085542647,2.424888305100011,47.9388942449199,-81.8567564715535,4113.045466053451,-9660.683345699284,111.07707781845396,
2025-08-14 15:00:00+00:00,50.498287,300.0,15.031500999999992,1020.4,67219.47941854043,2.434972596396506,3.717884775904274,2.802410712925707,7.262509362963235,3.273342200991782,47.93925478685688,-81.86334988348176,2496.832337929991,-9529.44234038991,136.61349603595352,
2025-08-14 16:00:00+00:00,49.115894,310.0,16.781499999999994,1019.9,67022.2976141376,2.432500101181254,4.2367819526930095,2.8099999004370306,7.252866828651891,3.7966112654451556,47.94353269113415,-81.87374249385817,-50.61183062589456,-7969.053688057091,152.51342383485743,
2025-08-14 17:00:00+00:00,45.416393,320.0,18.281499999999994,1019.6,66872.23446370797,2.4304317744345494,5.01433865423468,2.8112463877943537,7.269783225373182,4.22214189261159,47.94768163240011,-81.88099436746867,-1827.9062784522055,-6455.455793723814,163.81355562642065,
2025-08-14 18:00:00+00:00,39.145847,290.0,19.131500000000017,1019.5,66802.4759717671,2.4289252478885834,5.292809470677848,2.81318606024728,7.259414127183353,4.364105600313176,47.95208720472626,-81.88369558702185,-2489.7130058299363,-4848.2518893900915,168.33263414572497,
2025-08-14 19:00:00+00:00,36.267654,290.0,20.031499999999994,1019.2,66659.6301994527,2.4274173966738455,4.725482587644524,2.8232726706987035,7.233189352656947,4.783955396467531,47.950517538581494,-81.88824341320213,-3604.314496414838,-5420.677898071822,180.3165567747946,
2025-08-15 11:00:00+00:00,34.832783,250.00000000000003,13.881500000000017,1018.8,63604.144058416605,2.4353011821414974,2.7109305948505145,2.7109305948505145,7.279849538032538,6.346832173110177,47.92470655158419,-81.9031183304367,-7253.288425334463,-14835.315527971077,340.70571845405914,
2025-08-15 12:00:00+00:00,34.560528,239.99999999999997,15.531500999999992,1018.7,63830.691073927046,2.4331125145906323,2.821907778866525,2.8079164895700806,7.276172070794465,6.331172912971039,47.93026624067185,-81.90261998812414,-7130.335582163027,-12807.226324230587,329.2967329605335,
2025-08-15 13:00:00+00:00,35.371006,239.99999999999997,17.431500000000028,1018.7,63958.54287355739,2.429985686663138,3.139769849562705,2.8121792592441177,7.219821615734098,6.179547379455076,47.941604088808006,-81.91275976072987,-9614.136312934219,-8670.152339936558,322.6599881457483,
2025-08-15 14:00:00+00:00,34.00331,239.99999999999997,19.431500000000028,1018.2,64685.55941188821,2.427284812774489,3.1870198112692902,2.8255509065727606,7.224384555740223,5.933931753506905,47.94374959698102,-81.90009017976136,-6508.426017179239,-7888.807726665695,289.81841048686556,
2025-08-15 15:00:00+00:00,35.138786,250.00000000000003,21.381500000000017,1017.8,64795.326641461346,2.424565531933446,3.1690158177646364,2.834698382199769,7.22851105920189,5.905796329022522,47.94491495420414,-81.89731603182867,-5828.351720672806,-7463.914113986612,282.7581696952237,
2025-08-15 16:00:00+00:00,35.448074,250.00000000000003,23.281499999999994,1017.0,64748.811159032455,2.42093465907916,3.206627943665524,2.8391353857552413,7.275103459379103,6.155344504789458,47.945701653918476,-81.89955415431577,-6376.80613013726,-7176.75362975734,284.8181535878311,
