Simulation,Max Windspeed (kts),Wind Direction (deg),Temperature (°C),Pressure (mbar),Apogee (ft),Max Mach,Polaris Rocket Initial Stability,Polaris Rocket Min Stability,Polaris Rocket Max Stability,Polaris Rocket Apogee Stability,Polaris Rocket Landing Latitude (deg N),Polaris Rocket Landing Longitude (deg E),Polaris Rocket Position East of Launch (ft),Polaris Rocket Position North of Launch (ft),Polaris Rocket Lateral Velocity at Apogee (ft/s)
2021-08-31 15:00:00+00:00,41.235073,280.0,15.881501000000014,1011.4,64282.963613948945,2.4390207577002574,2.8870170638522143,2.7898728208148134,7.2704844695159085,5.375429015299052,47.93823016089896,-81.81518768408507,14302.686143959525,-9897.975900584,326.9811431530898,
2021-08-31 16:00:00+00:00,42.434322,280.0,17.581500000000005,1011.9,64525.18843768405,2.4354973944683174,2.864041819625294,2.8138200978646535,7.270761908787504,5.373010535295676,47.938568891075406,-81.81584333094807,14141.877728935448,-9774.53014938756,313.75481212275537,
2021-08-31 17:00:00+00:00,41.96174,280.0,18.881500000000017,1012.1,64368.110518847636,2.4318191331398893,2.7938074282765406,2.7938074282765406,7.261589117970915,5.428209165659739,47.930729113715564,-81.8305430692209,10540.20783613684,-12636.78063877734,318.65865412349416,
2021-08-31 18:00:00+00:00,40.073288,280.0,19.781499999999994,1011.8,64537.99853045782,2.430155815643025,2.879895998365331,2.812883028528601,7.26736114295635,5.681863856398462,47.934244771939206,-81.83131944350271,10349.169217911143,-11354.397186139571,312.21528345337015,
2021-08-31 19:00:00+00:00,41.18413,280.0,20.331500000000005,1011.4,64814.745198579745,2.4299125513850393,2.892248131961738,2.8128322752197903,7.276373949177788,5.459738552306542,47.932350791802655,-81.82313613463837,12355.715807756693,-12044.104437603854,299.07464568781126,
2022-08-01 11:00:00+00:00,49.854015,260.0,17.031499999999994,1004.6,64384.896347719005,2.4427641756828278,3.3250060290069285,2.790882468006455,7.229598060442479,5.374333104326167,47.980175439424144,-81.76218592798097,27272.699306322524,5417.730428751552,332.94861727445397,
2022-08-01 12:00:00+00:00,50.829754,260.0,18.131500000000017,1004.4,64783.002173057,2.440373084630369,3.1811872071478597,2.8891873600462143,7.266697634263178,5.783762303495062,47.98636477105943,-81.7609362121939,27575.49259529586,7676.020022945714,316.5749852004166,
2022-08-01 13:00:00+00:00,52.49968,260.0,19.581500000000005,1003.7,64394.38982305124,2.4371788368861576,3.1752360057045403,2.8264086367887296,7.260852491255261,5.481530526751631,47.989241307552994,-81.7552526831,28965.76855171945,8727.453814248962,329.6102922806926,
2022-08-01 14:00:00+00:00,52.49968,260.0,21.081500000000005,1003.5,64537.11546540964,2.434163575357767,3.2022422051490445,2.810478232616694,6.983384099042759,6.096351409772608,48.00007065033482,-81.75021134575678,30193.99605871557,12679.898758140298,320.70297407101134,
2022-08-01 15:00:00+00:00,51.592182,239.99999999999997,21.281499999999994,1002.4,65023.80945846765,2.436126921546223,3.0843458197399856,2.7993302292109368,7.228641339522179,5.485054269802675,48.00771489898079,-81.74198961598198,32202.1910843334,15471.827581912796,302.91481877639865,
